vendor_brand,vendor_sku,vendor_cost,vendor_core_cost,Stock,description,map_price
APW,CLS1001,23.92,0.00,779,Ignition Coil,
APW,CLS1002,48.80,0.00,151,Ignition Coil,
APW,CLS1003,56.26,0.00,22,Ignition Coil,
APW,CLS1004,35.36,0.00,31,Ignition Coil,
APW,CLS1005,33.87,0.00,24,Ignition Coil,
APW,CLS1006,32.98,0.00,23,Ignition Coil,
APW,CLS1007,48.98,0.00,28,Ignition Coil,
APW,CLS1008,31.30,0.00,24,Ignition Coil,
APW,CLS1009,47.66,0.00,16,Ignition Coil,
APW,CLS1010,57.61,0.00,23,Ignition Coil,
APW,CLS1011,53.37,0.00,22,Ignition Coil,
APW,CLS1012,36.04,0.00,141,Ignition Coil,
APW,CLS1013,46.31,0.00,9,Ignition Coil,
APW,CLS1014,46.31,0.00,16,Ignition Coil,
APW,CLS1015,49.08,0.00,24,Ignition Coil,
APW,CLS1016,31.34,0.00,27,Ignition Coil,
APW,CLS1017,56.35,0.00,28,Ignition Coil,
APW,CLS1018,62.51,0.00,8,Ignition Coil,
APW,CLS1019,43.42,0.00,52,Ignition Coil,
APW,CLS1020,37.98,0.00,24,Ignition Coil,
APW,CLS1021,65.87,0.00,16,Ignition Coil,
APW,CLS1022,33.69,0.00,33,Ignition Coil,
APW,CLS1023,61.04,0.00,14,Ignition Coil,
APW,CLS1024,22.89,0.00,21,Ignition Coil,
APW,CLS1025,34.17,0.00,16,Ignition Coil,
APW,CLS1026,41.64,0.00,25,Ignition Coil,
APW,CLS1027,18.94,0.00,131,Ignition Coil,
APW,CLS1028,52.75,0.00,8,Ignition Coil,
APW,CLS1029,55.35,0.00,7,Ignition Coil,
APW,CLS1030,41.46,0.00,50,Ignition Coil,
APW,CLS1031,53.84,0.00,18,Ignition Coil,
APW,CLS1032,55.30,0.00,20,Ignition Coil,
APW,CLS1033,56.20,0.00,27,Ignition Coil,
APW,CLS1034,56.99,0.00,10,Ignition Coil,
APW,CLS1035,65.08,0.00,28,Ignition Coil,
APW,CLS1036,54.50,0.00,15,Ignition Coil,
APW,CLS1037,46.31,0.00,13,Ignition Coil,
APW,CLS1038,69.11,0.00,10,Ignition Coil,
APW,CLS1039,41.64,0.00,8,Ignition Coil,
APW,CLS1040,25.53,0.00,17,Ignition Coil,
APW,CLS1041,52.42,0.00,17,Ignition Coil,
APW,CLS1042,29.38,0.00,19,Ignition Coil,
